Invoice Date,Item #,UPC,Brand,Item Description,Case Pack,Cases,Unit Cost
2026-03-04,884219,0-12345-67890-1,Wooden Spoon Herbs,Fire Cider 8 oz,12/8oz,2,17.00
2026-04-02,884219,0-12345-67890-1,Wooden Spoon Herbs,Fire Cider 8 oz,12/8oz,1,17.00
2026-05-07,884219,0-12345-67890-1,Wooden Spoon Herbs,Fire Cider 8 oz,12/8oz,2,17.00
2026-06-03,884219,0-12345-67890-1,Wooden Spoon Herbs,Fire Cider 8 oz,12/8oz,1,17.00
2026-03-04,884220,012345678902,Wooden Spoon Herbs,Brain Bloom Capsules 60ct,6/60ct,1,17.00
2026-05-07,884220,012345678902,Wooden Spoon Herbs,Brain Bloom Capsules 60ct,6/60ct,2,17.00
2026-06-03,884220,012345678902,Wooden Spoon Herbs,Brain Bloom Capsules 60ct,6/60ct,1,17.00
2026-04-02,884221,,Wooden Spoon Herbs,Tranquility Tonic 2 oz,12,1,14.50
2026-06-03,884221,,Wooden Spoon Herbs,Tranquility Tonic 2 oz,12,1,14.50
2026-05-07,991002,,Wooden Spoon Herbs,Magic Magnesium Tart Cherry,6,1,13.00
2026-05-07,773311,,Some Other Co,Special Order Elderflower Cordial,1,1,22.00
2026-06-03,884299,,Wooden Spoon Herbs,Oregano Daily Wellness,6/60ct,1,17.00
